,frame,xcoord,ycoord,brand,conf
2062,99480,76,254,Asics,0.9589602947235107
2063,99500,178,113,Adidas,0.9945313334465027
2064,99500,178,113,Asics,0.8817685842514038
2065,99500,178,113,Adidas,0.802329957485199
2066,99510,199,255,Asics,0.8477511405944824
2067,99510,86,112,NB,0.9988455772399902
2068,99510,86,112,Adidas,0.8629474639892578
2069,99520,329,250,Asics,0.854557991027832
2070,99710,199,255,Asics,0.8830652832984924
2071,99710,329,249,NB,0.9313390254974365
2072,99720,199,255,Asics,0.8756607174873352
2073,99720,298,124,Asics,0.8730842471122742
2074,99730,198,254,Asics,0.8648529052734375
2075,99730,198,254,Asics,0.8200371265411377
2076,99750,246,140,Asics,0.8175776600837708
2077,99760,74,112,Adidas,0.8647611141204834
2078,99800,199,255,Asics,0.8176525831222534
2079,99830,298,124,Asics,0.8058949708938599
2080,99840,199,255,Asics,0.9806379079818726
2081,99840,199,255,Asics,0.9667595028877258
2082,99840,199,255,Asics,0.9287518262863159
2083,99840,199,255,Asics,0.8649355173110962
2084,99850,199,255,Adidas,0.8241510987281799
2085,99850,199,255,Asics,0.8012294173240662
2086,99860,199,255,Asics,0.9670957326889038
2087,99860,199,255,Asics,0.8663746118545532
2088,99860,199,255,Asics,0.8607568740844727
2089,99860,199,255,Asics,0.8527944087982178
2090,99870,199,255,Asics,0.8825886249542236
2091,99870,199,255,Asics,0.8293417692184448
2092,99870,210,99,Asics,0.841374397277832
2093,99880,199,255,Asics,0.8300539255142212
2094,99890,199,255,Asics,0.8116737604141235
2095,100090,199,255,Asics,0.8232064843177795
2096,100110,199,255,Asics,0.9143997430801392
2097,100110,199,255,Asics,0.8436932563781738
2098,100110,298,124,Asics,0.8527191877365112
2099,100130,199,255,Asics,0.8478475213050842
2100,100150,199,255,Asics,0.8062686920166016
2101,100160,199,255,Asics,0.9549340009689331
2102,100160,199,255,Asics,0.9061986207962036
2103,100160,199,255,Asics,0.8526421189308167
2104,100170,199,255,Asics,0.8971099257469177
2105,100170,199,255,Asics,0.8238383531570435
2106,100180,199,255,Asics,0.9824342727661133
2107,100180,466,251,Asics,0.831264853477478
2108,100190,199,255,Nike,0.8295003175735474
2109,100190,384,174,Nike,0.8222753405570984
2110,100190,298,124,Asics,0.9202559590339661
2111,100200,298,124,Asics,0.824741780757904
